Thu Sep 26 14:40:31 2019
x,y,average value
136.72299323439108,75.84900324359212,7.30475577262658
770.8333515797547,360.19266032012075,10.343907341945371
288.5454144386624,744.5713284551834,13.826103276190025
351.27684128569604,418.44718071539944,11.638577004507752
949.2885035988332,7.214529363466005,6.458688787503988
594.2921862019632,12.743588421940455,7.366232403929336
499.8489858437024,998.3914054637343,14.163635886666167
6.112321537514509,498.2274695626424,9.753934229683953
1.4171870891607208,935.6332040978587,10.837555214008859
825.5587851317241,850.8026679824583,12.821880036557431
